X,Y
0.017788261,-1.384228361
0.17962935,0.1786649
0.332536843,0.326441944
0.374382707,0.365698063
0.493129775,0.473385082
0.70980237,-0.547685281
0.907190407,0.78777625
1.153282163,0.914099744
1.177584334,0.923683128
1.1947465,0.930122586
1.298744184,0.684317655
1.486306598,0.996432866
1.681220498,0.993909444
1.693268559,0.992509646
1.737944056,0.986063311
1.755367852,1.897687246
2.26159062,0.770740175
2.453833532,0.634807317
2.559269438,0.549965739
2.63846901,0.482164451
2.668382431,0.578369924
2.732932599,0.397380078
2.734809381,0.395657143
2.781920331,0.351967542
2.916213303,0.223476135
2.970637357,0.703603832
3.01668856,0.124579574
3.061378382,0.080128279
3.15223641,-0.010643555
3.189684894,-0.048073704
3.267959308,0.65945461
3.545618284,-0.393123028
3.615841719,-0.456670517
3.819127125,-0.626873987
3.874392459,-0.668953362
4.064947279,-1.229926555
4.155828409,-0.849077073
4.51809575,-0.981184373
4.554502956,-0.987561872
4.944261579,-0.973237778
